-76.20,-5.18,130.58
-76.20,-5.18,130.58
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.58
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.58
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.57
-76.20,-5.18,130.58
-76.20,-5.18,130.57
-76.20,-5.18,130.55
